,0
0,[O:1]=[C:11]1[S:10][C:17](=[C:18]([c:24]2[c:21]([H:38])[c:19]([H:36])[c:23]([O:9][C:28]([H:42])([H:43])[H:44])[c:20]([H:37])[c:22]2[H:39])[H:35])[C:12](=[O:2])[N:26]1[C:31]([C:14](=[O:4])[O:8][H:34])([H:51])[H:52].[O:3]=[C:13]([N:27]([C@@:33]([C:16](=[O:6])[N:25]([C:30]([H:48])([H:49])[H:50])[H:40])([C:32]([C:15](=[O:5])[O-:7])([H:53])[H:54])[H:55])[H:41])[C:29]([H:45])([H:46])[H:47]
1,[O:1]=[C:6]1[C:10]2=[C:13]([N:4]=[C:9]([N:20]([H:37])[H:38])[N:21]1[H:39])[N:22]([H:40])[C:12]([H:32])=[C:11]2[c:18]1[c:14]([H:33])[c:16]([H:35])[c:19]([C:27]([H:49])([H:50])[H:51])[c:17]([H:36])[c:15]1[H:34].[O:2]=[C:7]([N:24]([C@@:31]([C:8](=[O:3])[N:23]([C:28]([H:52])([H:53])[H:54])[H:41])([C:30]([C:29]([S:5][C:25]([H:43])([H:44])[H:45])([H:55])[H:56])([H:57])[H:58])[H:59])[H:42])[C:26]([H:46])([H:47])[H:48]
2,[F:3][C:26]([F:4])([F:5])[S:11][c:18]1[c:17]([H:38])[c:21]([S:12][C:27]([F:6])([F:7])[F:8])[c:23]2[c:20]([H:39])[c:16]([H:37])[c:15]([H:36])[n:9][c:22]2[c:19]1[O:10][H:35].[O:1]=[C:13]([N:25]([C@@:34]([C:14](=[O:2])[N:24]([C:29]([H:45])([H:46])[H:47])[H:40])([C@:33]([C:31]([H:51])([H:52])[H:53])([C:32]([C:30]([H:48])([H:49])[H:50])([H:54])[H:55])[H:56])[H:57])[H:41])[C:28]([H:42])([H:43])[H:44]
3,[O:1]=[C:6]([N:21]([H:40])[H:41])[N:23]([C:28]([c:19]1[c:14]([H:37])[c:10]([H:33])[c:9]([H:32])[c:13]([H:36])[c:18]1[O:5][C:25]([H:45])([H:46])[H:47])([H:54])[H:55])[H:43].[O:2]=[C:7]([N:24]([C@@:30]([C:8](=[O:3])[N:22]([C:27]([H:51])([H:52])[H:53])[H:42])([C:29]([c:20]1[c:15]([H:38])[c:11]([H:34])[c:17]([O:4][H:31])[c:12]([H:35])[c:16]1[H:39])([H:56])[H:57])[H:58])[H:44])[C:26]([H:48])([H:49])[H:50]
4,[O:1]=[C:12]([c:19]1[c:16]([H:36])[c:17]([H:37])[c:20]([C:27]([F:6])([F:7])[F:8])[c:18]([H:38])[c:21]1[S:35](=[O:4])(=[O:5])[C:33]([H:56])([H:57])[H:58])[N:22]([C:15]1=[N:11][N:9]=[N:10][N:24]1[C:29]([H:47])([H:48])[H:49])[H:39].[O:2]=[C:13]([N:25]1[C:30]([H:50])([H:51])[C:31]([H:52])([H:53])[C:32]([H:54])([H:55])[C@@:34]1([C:14](=[O:3])[N:23]([C:28]([H:44])([H:45])[H:46])[H:40])[H:59])[C:26]([H:41])([H:42])[H:43]
5,[O:1]=[C:8]([O:5][H:32])[c:21]1[c:15]([H:38])[c:12]([H:35])[c:16]([H:39])[c:22]([C:29]([C:28]([C:10](=[O:3])[O:6][H:33])([H:51])[H:52])([H:53])[H:54])[c:17]1[H:40].[O:2]=[C:9]([N:25]([C@@:31]([C:11](=[O:4])[N:24]([C:27]([H:48])([H:49])[H:50])[H:43])([C:30]([c:23]1[c:18]([H:41])[c:13]([H:36])[c:20]([O:7][H:34])[c:14]([H:37])[c:19]1[H:42])([H:55])[H:56])[H:57])[H:44])[C:26]([H:45])([H:46])[H:47]
6,[F:3][C:25]1([C:20]([O:5][H:28])([H:48])[H:49])[O:9][C:21]2([H:50])[O:6][C:12]([C:16]([H:36])([H:37])[H:38])=[N:4][C:22]2([H:51])[C:23]([O:7][H:29])([H:52])[C:24]1([O:8][H:30])[H:53].[O:1]=[C:10]([N:14]([C@@:27]([C:11](=[O:2])[N:13]([C:17]([H:39])([H:40])[H:41])[H:31])([C:26]([C:18]([H:42])([H:43])[H:44])([C:19]([H:45])([H:46])[H:47])[H:54])[H:55])[H:32])[C:15]([H:33])([H:34])[H:35]
7,[O:1]=[C:9]([N:22]1[C:28]([H:52])([H:53])[C:29]([H:54])([H:55])[C:30]([H:56])([H:57])[C@@:31]1([C:11](=[O:3])[N:21]([C:25]([H:45])([H:46])[H:47])[H:39])[H:58])[C:24]([H:42])([H:43])[H:44].[O:2]=[C:10]([N:20]([C:12]1=[N:6][N:7]=[C:13]([S:32](=[O:4])(=[O:5])[N:23]([H:40])[H:41])[S:8]1)[H:38])[C:26]([C:27]([c:19]1[c:17]([H:36])[c:15]([H:34])[c:14]([H:33])[c:16]([H:35])[c:18]1[H:37])([H:50])[H:51])([H:48])[H:49]
8,[O:1]=[C:9]([N:20]([C@@:29]([C:11](=[O:3])[N:19]([C:24]([H:43])([H:44])[H:45])[H:35])([C:28]([C:15]1=[C:14]([H:31])[N:18]([H:34])[C:16]([H:32])=[N+:22]1[H:39])([H:53])[H:54])[H:55])[H:36])[C:23]([H:40])([H:41])[H:42].[O:2]=[C:10]([N:17]([C:12]1=[N:6][N:7]=[C:13]([S:30](=[O:4])(=[O:5])[N:21]([H:37])[H:38])[S:8]1)[H:33])[C:27]([C:25]([H:46])([H:47])[H:48])([C:26]([H:49])([H:50])[H:51])[H:52]
9,[O:1]=[C:11]([N:22]([C@:30]([C:13](=[O:3])[N:20]([C:26]([H:50])([H:51])[H:52])[H:40])([C:28]([S:10][H:35])([H:56])[H:57])[H:59])[H:41])[C:24]([H:45])([H:46])[H:47].[O:2]=[C:12]([N:21]([O:5][H:32])[C:27]([H:53])([H:54])[H:55])[C:25]([O:7][C:29]([c:19]1[c:16]([H:38])[c:14]([H:36])[c:18]([O:6][C:23]([H:42])([H:43])[H:44])[c:15]([H:37])[c:17]1[H:39])([P:31](=[O:4])([O:8][H:33])[O:9][H:34])[H:58])([H:48])[H:49]
10,[F:5][c:16]1[n:7][c:17]([N:20]([H:37])[H:38])[c:19]2[c:18]([n:8]1)[N:22]([C:28]1([H:51])[O:10][C:30]([C:26]([O:9][H:34])([H:47])[H:48])([H:54])[C:31]([O:11][H:35])([H:55])[C:29]1([H:52])[H:53])[C:15]([H:36])=[N:6]2.[O:1]=[C:12]([N:23]([C@@:33]([C:14](=[O:3])[N:21]([C:25]([H:44])([H:45])[H:46])[H:39])([C:32]([C:27]([C:13](=[O:2])[O-:4])([H:49])[H:50])([H:56])[H:57])[H:58])[H:40])[C:24]([H:41])([H:42])[H:43]
11,[O:1]=[C:4]([N:18]([C@@:26]([C:5](=[O:2])[N:17]([C:21]([H:43])([H:44])[H:45])[H:36])([C@:25]([C:23]([H:49])([H:50])[H:51])([C:24]([C:22]([H:46])([H:47])[H:48])([H:52])[H:53])[H:54])[H:55])[H:37])[C:19]([H:38])([H:39])[H:40].[n:3]1[c:6]([H:27])[c:11]([H:32])[c:15]([C:20]([c:16]2[c:13]([H:34])[c:9]([H:30])[c:8]([H:29])[c:10]([H:31])[c:14]2[H:35])([H:41])[H:42])[c:12]([H:33])[c:7]1[H:28]
12,[O:1]=[C:4]([N:22]([C@@:28]([C:5](=[O:2])[N:21]([C:24]([H:45])([H:46])[H:47])[H:40])([C:27]([C:25]([H:48])([H:49])[H:50])([C:26]([H:51])([H:52])[H:53])[H:54])[H:55])[H:41])[C:23]([H:42])([H:43])[H:44].[n:3]1[c:15]2[c:10]([H:31])[c:8]([N:19]([H:36])[H:37])[c:6]([H:29])[c:12]([H:33])[c:17]2[c:14]([H:35])[c:18]2[c:13]([H:34])[c:7]([H:30])[c:9]([N:20]([H:38])[H:39])[c:11]([H:32])[c:16]12
13,[O:1]=[C:7]([N:15]([C@@:28]([C:9](=[O:3])[N:14]([C:17]([H:37])([H:38])[H:39])[H:32])([C:27]([C:26]([C:18]([H:40])([H:41])[H:42])([C:19]([H:43])([H:44])[H:45])[H:56])([H:57])[H:58])[H:59])[H:33])[C:16]([H:34])([H:35])[H:36].[O:2]=[C:8]([O:6][H:29])[C:24]1([H:54])[C:22]([H:50])([H:51])[C:20]([H:46])([H:47])[C:21]([H:48])([H:49])[C:23]([H:52])([H:53])[C:25]1([C:11]1=[N:5][N:12]([H:30])[C:10](=[S:4])[N:13]1[H:31])[H:55]
14,[O:1]=[C:10]([O:8][H:33])[C:15]1=[N:7][C:11](=[O:2])[N:23]([H:39])[C:30]([c:21]2[c:18]([H:36])[c:16]([H:34])[c:20]([O:9][C:25]([H:41])([H:42])[H:43])[c:17]([H:35])[c:19]2[H:37])([H:54])[C:28]1([H:50])[H:51].[O:3]=[C:12]([N:24]([C@@:32]([C:14](=[O:5])[N:22]([C:27]([H:47])([H:48])[H:49])[H:38])([C:31]([C:29]([C:13](=[O:4])[O-:6])([H:52])[H:53])([H:55])[H:56])[H:57])[H:40])[C:26]([H:44])([H:45])[H:46]
15,[Cl:4][c:14]1[n:6][c:15]([N:19]([H:36])[H:37])[c:17]2[c:16]([n:7]1)[N:21]([C:26]1([H:48])[O:9][C:29]([C:25]([O:8][H:32])([H:46])[H:47])([H:53])[C:28]([H:51])([H:52])[C:27]1([H:49])[H:50])[C:13]([H:33])=[N:5]2.[O:1]=[C:10]([N:22]([C@@:31]([C:12](=[O:3])[N:20]([C:24]([H:43])([H:44])[H:45])[H:38])([C:30]([C:11](=[O:2])[N:18]([H:34])[H:35])([H:54])[H:55])[H:56])[H:39])[C:23]([H:40])([H:41])[H:42]
16,[O:1]=[S:17]1[C:26]([H:47])([H:48])[C:24]([H:43])([H:44])[N:16]([c:11]2[n:3][c:9]([N:15]3[C:22]([H:39])([H:40])[C:20]([H:35])([H:36])[N:14]([H:30])[C:21]([H:37])([H:38])[C:23]3([H:41])[H:42])[n:4][c:12]3[c:10]([S:7][C:19]([C:18]([O:6][H:28])([H:31])[H:32])([H:33])[H:34])[n:2][c:8]([H:29])[n:5][c:13]23)[C:25]([H:45])([H:46])[C:27]1([H:49])[H:50]
17,[Cl:3][c:14]1[c:10]([H:28])[c:12]([H:30])[c:15]([C:7]2=[N:4][N:17]([H:34])[C:9]([N:16]([H:32])[H:33])=[C:8]2[H:27])[c:13]([H:31])[c:11]1[H:29].[O:1]=[C:5]([N:19]([C@@:26]([C:6](=[O:2])[N:18]([C:21]([H:40])([H:41])[H:42])[H:35])([C:25]([C:24]([C:22]([H:43])([H:44])[H:45])([C:23]([H:46])([H:47])[H:48])[H:49])([H:50])[H:51])[H:52])[H:36])[C:20]([H:37])([H:38])[H:39]
18,[O:1]=[C:6]([N:16]([c:14]1[c:10]([H:28])[c:12]([H:30])[c:15]([N:17]([C:7](=[O:2])[C:21]([H:39])([H:40])[H:41])[H:33])[c:13]([H:31])[c:11]1[H:29])[H:32])[C:20]([H:36])([H:37])[H:38].[O:3]=[C:8]([N:19]([C@@:25]([C:9](=[O:4])[N:18]([C:23]([H:45])([H:46])[H:47])[H:34])([C@:26]([O:5][H:27])([C:24]([H:48])([H:49])[H:50])[H:52])[H:51])[H:35])[C:22]([H:42])([H:43])[H:44]
19,[N:3]1=[c:13]2[c:10]([N:17]([H:33])[H:34])[n:4][c:15]3[c:11]([H:31])[c:8]([H:29])[c:9]([H:30])[c:12]([H:32])[c:16]3[c:14]2=[C:7]([H:28])[N:20]1[C:25]([C:27]([C:26]([C:24]([H:45])([H:46])[H:47])([H:50])[H:51])([H:52])[H:53])([H:48])[H:49].[O:1]=[C:5]([N:19]([C:23]([C:6](=[O:2])[N:18]([C:22]([H:40])([H:41])[H:42])[H:35])([H:43])[H:44])[H:36])[C:21]([H:37])([H:38])[H:39]
20,[O:1]=[C:5]1[C:6](=[O:2])[N:22]([C:27]([C:26]([c:20]2[c:16]([H:37])[c:12]([H:33])[c:9]([H:30])[c:13]([H:34])[c:17]2[H:38])([H:47])[H:48])([H:49])[H:50])[c:19]2[c:15]([H:36])[c:11]([H:32])[c:10]([H:31])[c:14]([H:35])[c:18]21.[O:3]=[C:7]([N:23]([C@@:29]([C:8](=[O:4])[N:21]([C:25]([H:44])([H:45])[H:46])[H:39])([C:28]([H:51])([H:52])[H:53])[H:54])[H:40])[C:24]([H:41])([H:42])[H:43]
