,0
0,[O:1]=[C:11]1[S:10][C:17](=[C:18]([c:24]2[c:21]([H:38])[c:19]([H:36])[c:23]([O:9][C:28]([H:42])([H:43])[H:44])[c:20]([H:37])[c:22]2[H:39])[H:35])[C:12](=[O:2])[N:26]1[C:31]([C:14](=[O:4])[O:8][H:34])([H:51])[H:52].[O:3]=[C:13]([N:27]([C@@:33]([C:16](=[O:6])[N:25]([C:30]([H:48])([H:49])[H:50])[H:40])([C:32]([C:15](=[O:5])[O-:7])([H:53])[H:54])[H:55])[H:41])[C:29]([H:45])([H:46])[H:47]
1,[O:1]=[C:6]1[C:10]2=[C:13]([N:4]=[C:9]([N:20]([H:37])[H:38])[N:21]1[H:39])[N:22]([H:40])[C:12]([H:32])=[C:11]2[c:18]1[c:14]([H:33])[c:16]([H:35])[c:19]([C:27]([H:49])([H:50])[H:51])[c:17]([H:36])[c:15]1[H:34].[O:2]=[C:7]([N:24]([C@@:31]([C:8](=[O:3])[N:23]([C:28]([H:52])([H:53])[H:54])[H:41])([C:30]([C:29]([S:5][C:25]([H:43])([H:44])[H:45])([H:55])[H:56])([H:57])[H:58])[H:59])[H:42])[C:26]([H:46])([H:47])[H:48]
2,[F:3][C:26]([F:4])([F:5])[S:11][c:18]1[c:17]([H:38])[c:21]([S:12][C:27]([F:6])([F:7])[F:8])[c:23]2[c:20]([H:39])[c:16]([H:37])[c:15]([H:36])[n:9][c:22]2[c:19]1[O:10][H:35].[O:1]=[C:13]([N:25]([C@@:34]([C:14](=[O:2])[N:24]([C:29]([H:45])([H:46])[H:47])[H:40])([C@:33]([C:31]([H:51])([H:52])[H:53])([C:32]([C:30]([H:48])([H:49])[H:50])([H:54])[H:55])[H:56])[H:57])[H:41])[C:28]([H:42])([H:43])[H:44]
3,[O:1]=[C:6]([N:21]([H:40])[H:41])[N:23]([C:28]([c:19]1[c:14]([H:37])[c:10]([H:33])[c:9]([H:32])[c:13]([H:36])[c:18]1[O:5][C:25]([H:45])([H:46])[H:47])([H:54])[H:55])[H:43].[O:2]=[C:7]([N:24]([C@@:30]([C:8](=[O:3])[N:22]([C:27]([H:51])([H:52])[H:53])[H:42])([C:29]([c:20]1[c:15]([H:38])[c:11]([H:34])[c:17]([O:4][H:31])[c:12]([H:35])[c:16]1[H:39])([H:56])[H:57])[H:58])[H:44])[C:26]([H:48])([H:49])[H:50]
4,[O:1]=[S:17]1[C:26]([H:47])([H:48])[C:24]([H:43])([H:44])[N:16]([c:11]2[n:3][c:9]([N:15]3[C:22]([H:39])([H:40])[C:20]([H:35])([H:36])[N:14]([H:30])[C:21]([H:37])([H:38])[C:23]3([H:41])[H:42])[n:4][c:12]3[c:10]([S:7][C:19]([C:18]([O:6][H:28])([H:31])[H:32])([H:33])[H:34])[n:2][c:8]([H:29])[n:5][c:13]23)[C:25]([H:45])([H:46])[C:27]1([H:49])[H:50]
5,[Cl:3][c:14]1[c:10]([H:28])[c:12]([H:30])[c:15]([C:7]2=[N:4][N:17]([H:34])[C:9]([N:16]([H:32])[H:33])=[C:8]2[H:27])[c:13]([H:31])[c:11]1[H:29].[O:1]=[C:5]([N:19]([C@@:26]([C:6](=[O:2])[N:18]([C:21]([H:40])([H:41])[H:42])[H:35])([C:25]([C:24]([C:22]([H:43])([H:44])[H:45])([C:23]([H:46])([H:47])[H:48])[H:49])([H:50])[H:51])[H:52])[H:36])[C:20]([H:37])([H:38])[H:39]
6,[O:1]=[C:6]([N:16]([c:14]1[c:10]([H:28])[c:12]([H:30])[c:15]([N:17]([C:7](=[O:2])[C:21]([H:39])([H:40])[H:41])[H:33])[c:13]([H:31])[c:11]1[H:29])[H:32])[C:20]([H:36])([H:37])[H:38].[O:3]=[C:8]([N:19]([C@@:25]([C:9](=[O:4])[N:18]([C:23]([H:45])([H:46])[H:47])[H:34])([C@:26]([O:5][H:27])([C:24]([H:48])([H:49])[H:50])[H:52])[H:51])[H:35])[C:22]([H:42])([H:43])[H:44]
7,[N:3]1=[c:13]2[c:10]([N:17]([H:33])[H:34])[n:4][c:15]3[c:11]([H:31])[c:8]([H:29])[c:9]([H:30])[c:12]([H:32])[c:16]3[c:14]2=[C:7]([H:28])[N:20]1[C:25]([C:27]([C:26]([C:24]([H:45])([H:46])[H:47])([H:50])[H:51])([H:52])[H:53])([H:48])[H:49].[O:1]=[C:5]([N:19]([C:23]([C:6](=[O:2])[N:18]([C:22]([H:40])([H:41])[H:42])[H:35])([H:43])[H:44])[H:36])[C:21]([H:37])([H:38])[H:39]
8,[O:1]([C@:15]1([H:45])[C:3]([H:23])=[C:5]2[C:6]([H:25])([H:26])[C:11]([H:36])([H:37])[C@@:18]3([H:47])[C@:17]4([H:46])[C:10]([H:34])([H:35])[C:2]([H:22])=[C:4]([H:24])[C@@:16]4([C:8]([H:29])([H:30])[H:31])[C:9]([H:32])([H:33])[C:12]([H:38])([H:39])[C@:19]3([H:48])[C@@:20]2([C:13]([H:40])([H:41])[H:42])[C:14]([H:43])([H:44])[C:7]1([H:27])[H:28])[H:21]
9,[O:1]=[C:8]([O:6][C:22]([H:34])([H:35])[H:36])[c:18]1[c:14]([H:29])[c:13]([H:28])[c:16]2[c:17]([c:15]1[H:30])[S:7][C:12]([N:19]([C:9](=[O:2])[C:23]([H:37])([H:38])[H:39])[H:31])=[N:5]2.[O:3]=[C:10]([N:21]([C@@:27]([C:11](=[O:4])[N:20]([C:25]([H:43])([H:44])[H:45])[H:32])([C:26]([H:46])([H:47])[H:48])[H:49])[H:33])[C:24]([H:40])([H:41])[H:42]
10,[C:5](=[C:7]([N+:13]1=[C:9]([H:26])[N:10]([H:27])[C:6]([H:23])=[C:8]1[H:25])[H:24])([H:21])[H:22].[O:1]=[C:3]([N:12]([C@@:20]([C:4](=[O:2])[N:11]([C:15]([H:33])([H:34])[H:35])[H:28])([C:19]([C:18]([C:16]([H:36])([H:37])[H:38])([C:17]([H:39])([H:40])[H:41])[H:42])([H:43])[H:44])[H:45])[H:29])[C:14]([H:30])([H:31])[H:32]
11,[N:1]#[C:5][C:11]1=[C:12]([c:25]2[c:19]([H:36])[c:15]([H:32])[c:23]([F:3])[c:16]([H:33])[c:20]2[H:37])[C:30]([H:45])([H:46])[C:31]([c:26]2[c:21]([H:38])[c:17]([H:34])[c:24]([F:4])[c:18]([H:35])[c:22]2[H:39])([C:29]([H:42])([H:43])[H:44])[N:28]([H:41])/[C:14]1=[C:13](\[C:6]#[N:2])[C:10]1=[N:9][N:7]=[N:8][N:27]1[H:40]
12,[O:1]=[C:7]1[C:11]([Cl:4])=[C:12]([N:22]([C:30]2([H:58])[C:28]([H:54])([H:55])[N:21]([H:40])[C:27]([H:52])([H:53])[C:29]2([H:56])[H:57])[H:41])[C:10]([H:34])=[N:5][N:20]1[C:26]([H:49])([H:50])[H:51].[O:2]=[C:8]([N:23]([C@@:32]([C:9](=[O:3])[N:19]([C:25]([H:46])([H:47])[H:48])[H:39])([C:31]([c:18]1[c:15]([H:37])[c:13]([H:35])[c:17]([O:6][H:33])[c:14]([H:36])[c:16]1[H:38])([H:59])[H:60])[H:61])[H:42])[C:24]([H:43])([H:44])[H:45]
13,[Cl:4][c:22]1[c:18]([H:42])[c:16]([H:40])[c:20]([O:6][C:29]([c:19]2[c:14]([H:38])[c:12]([H:36])[c:11]([H:35])[c:13]([H:37])[c:15]2[H:39])([H:51])[H:52])[c:23]2[n:5][c:10]([H:34])[c:17]([H:41])[c:21]([H:43])[c:24]12.[O:1]=[C:7]([N:27]([C@@:33]([C:9](=[O:3])[N:26]([C:30]([H:53])([H:54])[H:55])[H:46])([C:32]([C:31]([C:8](=[O:2])[N:25]([H:44])[H:45])([H:56])[H:57])([H:58])[H:59])[H:60])[H:47])[C:28]([H:48])([H:49])[H:50]
14,[O:1]=[C:8]([C:11]1=[C:12]([N:26]([H:45])[H:46])[N+:30]([H:50])=[C:13]([N:27]([c:25]2[c:20]([H:43])[c:14]([H:37])[c:17]([H:40])[c:23]([Cl:5])[c:21]2[H:44])[H:47])[S:7]1)[c:24]1[c:18]([H:41])[c:15]([H:38])[c:22]([F:4])[c:16]([H:39])[c:19]1[H:42].[O:2]=[C:9]([N:29]([C@@:34]([C:10](=[O:3])[N:28]([C:32]([H:54])([H:55])[H:56])[H:48])([C@:35]([O:6][H:36])([C:33]([H:57])([H:58])[H:59])[H:61])[H:60])[H:49])[C:31]([H:51])([H:52])[H:53]
15,[O:1]=[C:7]1[c:18]2[c:13]([H:30])[c:12]([H:29])[c:17]([O:4][P:25](=[S:3])([O:5][C:22]([H:34])([H:35])[H:36])[O:6][C:23]([H:37])([H:38])[H:39])[c:14]([H:31])[c:19]2[C:8](=[O:2])[N:21]1[C:24]([c:20]1[c:15]([H:32])[c:10]([H:27])[c:9]([H:26])[c:11]([H:28])[c:16]1[H:33])([H:40])[H:41]
16,[O:1]=[C:6]([N:9]([C@@:18]([C:7](=[O:2])[N:8]([C:11]([H:27])([H:28])[H:29])[H:22])([C:17]([O:5][H:21])([H:40])[H:41])[H:42])[H:23])[C:10]([H:24])([H:25])[H:26].[O:3]([C:13]([O:4][H:20])([C:15]([C:16]([C:14]([C:12]([H:30])([H:31])[H:32])([H:34])[H:35])([H:38])[H:39])([H:36])[H:37])[H:33])[H:19]
17,[O:1]=[C:13]([c:31]1[c:27]([F:4])[c:22]([H:47])[c:23]([H:48])[c:30]([O:11][C:38]([C:16]2=[N:9][c:29]3[c:18]([n:10][c:17]([H:43])[c:32]([C:39]([F:6])([F:7])[F:8])[c:24]3[H:49])[S:12]2)([H:59])[H:60])[c:28]1[F:5])[N:34]([H:52])[H:53].[O:2]=[C:14]([N:36]([C@@:42]([C:15](=[O:3])[N:35]([C:40]([H:61])([H:62])[H:63])[H:54])([C:41]([c:33]1[c:25]([H:50])[c:20]([H:45])[c:19]([H:44])[c:21]([H:46])[c:26]1[H:51])([H:64])[H:65])[H:66])[H:55])[C:37]([H:56])([H:57])[H:58]
18,[O:1]=[C:9]([O:7][H:37])[C:14]1=[C:15]([N:25]([C:10](=[O:2])[c:23]2[c:20]([H:40])[c:18]([H:38])[c:22]([Cl:6])[c:19]([H:39])[c:21]2[H:41])[H:44])[S:8][C:16]2=[C:17]1[C:31]([H:55])([H:56])[C:34]([H:61])([H:62])[C:33]([H:59])([H:60])[C:30]2([H:53])[H:54].[O:3]=[C:11]([N:27]([C@@:36]([C:13](=[O:5])[N:26]([C:29]([H:50])([H:51])[H:52])[H:45])([C:35]([C:32]([C:12](=[O:4])[N:24]([H:42])[H:43])([H:57])[H:58])([H:63])[H:64])[H:65])[H:46])[C:28]([H:47])([H:48])[H:49]
19,[N:1](=[C:3](\[S:2][H:17])[N:4]([C:5]([H:18])([H:19])[H:20])[C:6]([H:21])([H:22])[H:23])\[C@:12]1([H:34])[C:8]([H:26])([H:27])[C@@:13]2([H:35])[C:9]([H:28])([H:29])[C@:14]1([H:36])[C@:16]1([H:38])[C:11]([H:32])([H:33])[C:7]([H:24])([H:25])[C:10]([H:30])([H:31])[C@:15]21[H:37]
20,[O:1]=[S:15]1(=[O:2])[C:13]([H:28])([H:29])[C:11]23[C:7]([H:20])([H:21])[C:3]([H:16])=[C:4]([H:17])[C:9]([H:24])([H:25])[C:12]2([C:10]([H:26])([H:27])[C:6]([H:19])=[C:5]([H:18])[C:8]3([H:22])[H:23])[C:14]1([H:30])[H:31]
21,[O:1]=[C:9]([N:13]([H:22])[H:23])[C:18]1([Cl:7])[C:16]2([Cl:5])[C:11]([H:20])=[C:12]([H:21])[C:17]([Cl:6])([C:15]2([Cl:3])[Cl:4])[C:19]1([Cl:8])[C:10](=[O:2])[N:14]([H:24])[H:25]
22,[O:1]=[C:6]1[C:7]2=[N:2][N:3]=[C:8]([c:12]3[n:5][c:10]([H:18])[c:9]([H:17])[n:4][c:11]3[H:19])[N:14]2[C:16]([H:23])([H:24])[C:15]([H:21])([H:22])[N:13]1[H:20]
23,[O:1]=[P:5]([O:2][H:6])([O:3][H:7])[O:4][H:8].[C:9]1([H:14])=[C:10]([H:15])[N+:13]([H:18])=[C:11]([H:16])[N:12]1[H:17]
